Nome;Posicao;Categoria;Sinonimos
Boubacar Barry;GOL;JOGADOR BASE;
Jean-Marie Pfaff;GOL;JOGADOR BASE;
Michel Preud'homme;GOL;JOGADOR BASE;
Stefano Tacconi;GOL;JOGADOR BASE;
Gilmar;GOL;JOGADOR BASE;Gilmar dos Santos Neves
Waldir Peres;GOL;JOGADOR BASE;
Carlos Bilardo;GOL;JOGADOR BASE;
Zeljko Kalac;GOL;JOGADOR BASE;Spider
Óscar Pérez;GOL;JOGADOR BASE;El Conejo
Víctor Valdés;GOL;JOGADOR BASE;
Igor Akinfeev;GOL;JOGADOR BASE;
Stéphane Ruffier;GOL;JOGADOR BASE;
Bogdan Lobont;GOL;JOGADOR BASE;
Thomas Sorensen;GOL;JOGADOR BASE;
Ricardo Montserrat;GOL;JOGADOR BASE;
Shay Given;GOL;JOGADOR BASE;
Andres Palop;GOL;JOGADOR BASE;
Luboš Mikloško;GOL;JOGADOR BASE;
Tomáš Vaclík;GOL;JOGADOR BASE;
Francisco Villarreal;GOL;JOGADOR BASE;
Doni;GOL;JOGADOR BASE;Anderson Luis de Abreu Oliveira
Jefferson;GOL;JOGADOR BASE;Jefferson de Oliveira Paulino
Weverton;GOL;JOGADOR BASE;Weverton Pereira da Silva
Claudio Taffarel 2;GOL;JOGADOR BASE;
Leao Bucchi;GOL;JOGADOR BASE;
Bodo Illgner;GOL;JOGADOR BASE;
Packie Bonner;GOL;JOGADOR BASE;
Peter Rufai;GOL;JOGADOR BASE;
Jose Henrique;GOL;JOGADOR BASE;
Sven Andersson;GOL;JOGADOR BASE;
Yoshikatsu Kawaguchi;GOL;JOGADOR BASE;
Ivan Berezutskiy;GOL;JOGADOR BASE;
Saša Poleksic;GOL;JOGADOR BASE;
Luiz Muller;GOL;JOGADOR BASE;
Diego Alves;GOL;JOGADOR BASE;
Silvio Proto;GOL;JOGADOR BASE;
Ederson;GOL;JOGADOR BASE;Ederson Santana de Moraes
Cafu;LAT;LENDA;Marcos Evangelista de Morais
Roberto Carlos;LAT;LENDA;Roberto Carlos da Silva Rocha
Paolo Maldini;LAT;LENDA;
Philipp Lahm;LAT;LENDA;
Carlos Alberto Torres;LAT;LENDA;
Nilton Santos;LAT;FOLCLORICO/HISTORICO;O Enciclopédia
Branco;LAT;FOLCLORICO/HISTORICO;Cláudio Ibrahim Vaz Leal
Marcelo;LAT;FOLCLORICO/HISTORICO;Marcelo Vieira da Silva Júnior
Djalma Santos;LAT;FOLCLORICO/HISTORICO;
George Cohen;LAT;FOLCLORICO/HISTORICO;
Giacinto Facchetti;LAT;FOLCLORICO/HISTORICO;
Berti Vogts;LAT;FOLCLORICO/HISTORICO;O Terrier
Lilian Thuram;LAT;FOLCLORICO/HISTORICO;
Danilinho;LAT;FOLCLORICO/HISTORICO;
Michel Platini;LAT;FOLCLORICO/HISTORICO;
Serginho;LAT;FOLCLORICO/HISTORICO;Sérgio Claúdio dos Santos
Léo;LAT;FOLCLORICO/HISTORICO;Léo Rodrigues dos Santos
Maicon;LAT;JOGADOR BASE;Maicon Douglas Sisenando
Daniel Alves;LAT;JOGADOR BASE;Daniel Alves da Silva
Patrice Evra;LAT;JOGADOR BASE;
Ashley Cole;LAT;JOGADOR BASE;
Jordi Alba;LAT;JOGADOR BASE;
Marcelo Grohe;LAT;JOGADOR BASE;
Ricardo Carvalho;LAT;JOGADOR BASE;
Serge Aurier;LAT;JOGADOR BASE;
Juan;LAT;JOGADOR BASE;Juan Silveira dos Santos
Lúcio;LAT;JOGADOR BASE;Lúcio Flávio Assis Corrêa
Maxwell;LAT;JOGADOR BASE;Maxwell Scherrer Cabelino Andrade
Cicinho;LAT;JOGADOR BASE;Cesar Aparecido Rodrigues
Dani Carvajal;LAT;JOGADOR BASE;
Achraf Hakimi;LAT;JOGADOR BASE;
Theo Hernández;LAT;JOGADOR BASE;
Andy Robertson;LAT;JOGADOR BASE;
Trent Alexander-Arnold;LAT;JOGADOR BASE;
Alphonso Davies;LAT;JOGADOR BASE;
Facundo Medina;LAT;JOGADOR BASE;
Marcos Rojo;LAT;JOGADOR BASE;
Aleksandar Kolarov;LAT;JOGADOR BASE;
Daley Blind;LAT;JOGADOR BASE;
Jonathan Tah;LAT;JOGADOR BASE;
Rafael Guerreiro;LAT;JOGADOR BASE;
Moussa Wagué;LAT;JOGADOR BASE;
Kwadwo Asamoah;LAT;JOGADOR BASE;
Aly Cissokho;LAT;JOGADOR BASE;
Eduardo da Silva;LAT;JOGADOR BASE;
Bakary Sagna;LAT;JOGADOR BASE;
Álvaro Arbeloa;LAT;JOGADOR BASE;
Juan Cuadrado;LAT;JOGADOR BASE;
Nelson Semedo;LAT;JOGADOR BASE;
Benjamin Mendy;LAT;JOGADOR BASE;
Hans-Peter Briegel;LAT;JOGADOR BASE;
Jairzinho;LAT;JOGADOR BASE;Jair Ventura Filho
Francisco Marinho;LAT;JOGADOR BASE;
Éder Militão;LAT;JOGADOR BASE;
Danilo;LAT;JOGADOR BASE;Danilo Luiz da Silva
Léo Ortiz;LAT;JOGADOR BASE;
Renan Lodi;LAT;JOGADOR BASE;Renan Lodi de Oliveira
Alberto Tarantini;LAT;FOLCLORICO/HISTORICO;
Jorge Olguin;LAT;JOGADOR BASE;
Stefan Effenberg;LAT;JOGADOR BASE;
Giovanni;LAT;JOGADOR BASE;Giovanni Silva de Oliveira
Aldair;LAT;JOGADOR BASE;Aldair Nascimento dos Santos
Junior;LAT;JOGADOR BASE;Leovegildo Lins da Gama Júnior
Leandro;LAT;JOGADOR BASE;Leandro Maciel de Almeida
Mauro Galvão;LAT;JOGADOR BASE;
Geraldo;LAT;JOGADOR BASE;
Getúlio;LAT;JOGADOR BASE;
Tardelli;LAT;JOGADOR BASE;Diego Tardelli Martins
Élber;LAT;JOGADOR BASE;Elber Oliveira Campos
Rodrigo Caio;LAT;JOGADOR BASE;
André Santos;LAT;JOGADOR BASE;André Luís Ferreira dos Santos
Cléber;LAT;JOGADOR BASE;
Belletti;LAT;JOGADOR BASE;Juliano Haus Belletti
Marcos Assunção;LAT;JOGADOR BASE;
Naldo;LAT;JOGADOR BASE;Ronaldo Aparecido Rodrigues
Éder Luiz;LAT;JOGADOR BASE;
Santos Dumont;LAT;JOGADOR BASE;
Celso;LAT;JOGADOR BASE;
Rafael da Silva;LAT;JOGADOR BASE;Rafael Pereira da Silva
Filipe Luís;LAT;JOGADOR BASE;Filipe Luís Kasmirski
Jorge;LAT;JOGADOR BASE;Jorge Luiz Frello Filho
William;LAT;JOGADOR BASE;Willian Borges da Silva
Dodô;LAT;JOGADOR BASE;Dodo Oliveira Bonfim
Sidnei;LAT;JOGADOR BASE;Sidnei Rechel da Silva Junior
Victor Luis;LAT;JOGADOR BASE;
Layún;LAT;JOGADOR BASE;Miguel Arturo Layún Prado
Serdar Tasci;LAT;JOGADOR BASE;
Sylvain Armand;LAT;JOGADOR BASE;
Gaël Clichy;LAT;JOGADOR BASE;
Aly Montassar;LAT;JOGADOR BASE;
Hakan Unsal;LAT;JOGADOR BASE;
Ivan Ramiro Córdoba;LAT;JOGADOR BASE;
Michel Salgado;LAT;JOGADOR BASE;
Giovanni Rodriguez;LAT;JOGADOR BASE;
Robert Enke;LAT;JOGADOR BASE;
Victor Moses;LAT;JOGADOR BASE;
Ogenyi Onazi;LAT;JOGADOR BASE;
Ahmed Musa;LAT;JOGADOR BASE;
Abdoul Karim Hassan;LAT;JOGADOR BASE;
Franz Beckenbauer;ZAG;LENDA;O Kaiser
Bobby Moore;ZAG;LENDA;
Hierro;ZAG;LENDA;Fernando Hierro Ruiz
Fabio Cannavaro;ZAG;LENDA;
Virgil van Dijk;ZAG;LENDA;
Baresi;ZAG;FOLCLORICO/HISTORICO;Franco Baresi
Passarella;ZAG;FOLCLORICO/HISTORICO;Daniel Passarella
Lúcio;ZAG;FOLCLORICO/HISTORICO;Lúcio Flávio Assis Corrêa
Matthias Sammer;ZAG;FOLCLORICO/HISTORICO;
Rio Ferdinand;ZAG;FOLCLORICO/HISTORICO;
Alessandro Nesta;ZAG;FOLCLORICO/HISTORICO;
Marcel Desailly;ZAG;FOLCLORICO/HISTORICO;La Roque
Carles Puyol;ZAG;FOLCLORICO/HISTORICO;
Thiago Silva;ZAG;FOLCLORICO/HISTORICO;O Monstro
Sergio Ramos;ZAG;FOLCLORICO/HISTORICO;
Mats Hummels;ZAG;FOLCLORICO/HISTORICO;
Raphaël Varane;ZAG;FOLCLORICO/HISTORICO;
Aldair;ZAG;JOGADOR BASE;Aldair Nascimento dos Santos
Edmílson;ZAG;JOGADOR BASE;Edmílson José Gomes de Moraes
Roque Júnior;ZAG;JOGADOR BASE;José Vitor Roque Júnior
Mauro Silva;ZAG;JOGADOR BASE;
Juan;ZAG;JOGADOR BASE;Juan Silveira dos Santos
David Luiz;ZAG;JOGADOR BASE;David Luiz Moreira Marinho
Marquinhos;ZAG;JOGADOR BASE;Marcos Aoás Corrêa
Miranda;ZAG;JOGADOR BASE;João Miranda de Souza Filho
Dante;ZAG;JOGADOR BASE;Dante Bonfim Costa Santos
Gary Pallister;ZAG;JOGADOR BASE;
Sol Campbell;ZAG;JOGADOR BASE;
John Terry;ZAG;JOGADOR BASE;
Tony Adams;ZAG;JOGADOR BASE;
Terry Butcher;ZAG;JOGADOR BASE;
Stuart Pearce;ZAG;JOGADOR BASE;
Ledley King;ZAG;JOGADOR BASE;
Martin Keown;ZAG;JOGADOR BASE;
Phil Neville;ZAG;JOGADOR BASE;
Leonardo Bonucci;ZAG;JOGADOR BASE;
Giorgio Chiellini;ZAG;JOGADOR BASE;
Andrea Barzagli;ZAG;JOGADOR BASE;
Costacurta;ZAG;JOGADOR BASE;Alessandro Costacurta
Ciro Ferrara;ZAG;JOGADOR BASE;
Per Mertesacker;ZAG;JOGADOR BASE;
Jerome Boateng;ZAG;JOGADOR BASE;
Benedikt Höwedes;ZAG;JOGADOR BASE;
Carsten Ramelow;ZAG;JOGADOR BASE;
Jens Nowotny;ZAG;JOGADOR BASE;
Christoph Metzelder;ZAG;JOGADOR BASE;
Arne Friedrich;ZAG;JOGADOR BASE;
Kalidou Koulibaly;ZAG;JOGADOR BASE;
Vincent Kompany;ZAG;JOGADOR BASE;
Laurent Blanc;ZAG;JOGADOR BASE;Le Président
William Gallas;ZAG;JOGADOR BASE;
Éliaquim Mangala;ZAG;JOGADOR BASE;
Clément Lenglet;ZAG;JOGADOR BASE;
Presnel Kimpembe;ZAG;JOGADOR BASE;
Dayot Upamecano;ZAG;JOGADOR BASE;
Pique;ZAG;JOGADOR BASE;Gerard Piqué Bernabéu
Ivan Helguera;ZAG;JOGADOR BASE;
Carlos Marchena;ZAG;JOGADOR BASE;
Pepe;ZAG;JOGADOR BASE;Kepler Laveran Lima Ferreira
Bruno Alves;ZAG;JOGADOR BASE;
Ruben Dias;ZAG;JOGADOR BASE;
José Fonte;ZAG;JOGADOR BASE;
Fernando Couto;ZAG;JOGADOR BASE;
Artur Jorge;ZAG;JOGADOR BASE;
Ronald Koeman;ZAG;JOGADOR BASE;
Frank Rijkaard;ZAG;JOGADOR BASE;
Jaap Stam;ZAG;JOGADOR BASE;
Sami Hyypiä;ZAG;JOGADOR BASE;
Aleksandar Lukovic;ZAG;JOGADOR BASE;
Vedran Corluka;ZAG;JOGADOR BASE;
Dejan Lovren;ZAG;JOGADOR BASE;
Domagoj Vida;ZAG;JOGADOR BASE;
Oghenekaro Etebo;ZAG;JOGADOR BASE;
Joseph Yobo;ZAG;JOGADOR BASE;
John Obi Mikel;ZAG;JOGADOR BASE;
Nwankwo Kanu;ZAG;JOGADOR BASE;
Taribo West;ZAG;FOLCLORICO/HISTORICO;
Augustine Eguavoen;ZAG;JOGADOR BASE;
Cyrus Njoku;ZAG;JOGADOR BASE;
Thomas Vermaelen;ZAG;JOGADOR BASE;
Jan Vertonghen;ZAG;JOGADOR BASE;
Toby Alderweireld;ZAG;JOGADOR BASE;
Nicolás Otamendi;ZAG;JOGADOR BASE;
Ezequiel Garay;ZAG;JOGADOR BASE;
Germán Pezzella;ZAG;JOGADOR BASE;
Lisandro Martínez;ZAG;JOGADOR BASE;La Araña
Cristian Romero;ZAG;JOGADOR BASE;Cuti
Diego Placente;ZAG;JOGADOR BASE;
Roberto Ayala;ZAG;JOGADOR BASE;El Ratón
Javier Zanetti;ZAG;JOGADOR BASE;
Oscar Ruggeri;ZAG;FOLCLORICO/HISTORICO;El Cabezón
Ervin Hadžić;ZAG;JOGADOR BASE;
Merih Demiral;ZAG;JOGADOR BASE;
Hüseyin Çimşir;ZAG;JOGADOR BASE;
Emre Can;ZAG;JOGADOR BASE;
Jochen Kientz;ZAG;JOGADOR BASE;
Jan Koller;ZAG;JOGADOR BASE;
Tomas Ujfalusi;ZAG;JOGADOR BASE;
Sokratis Papastathopoulos;ZAG;JOGADOR BASE;
Nikos Dabizas;ZAG;JOGADOR BASE;
Kyriakos Papadopoulos;ZAG;JOGADOR BASE;
Aymeric Laporte;ZAG;JOGADOR BASE;
Guillermo Amor;ZAG;JOGADOR BASE;
Didi;VOL;LENDA;Waldir Pereira
Gerson;VOL;LENDA;Gerson de Oliveira Nunes
Gilberto Silva;VOL;LENDA;Gilberto Aparecido da Silva
Lothar Matthäus;VOL;LENDA;
Roy Keane;VOL;LENDA;
Mauro;VOL;FOLCLORICO/HISTORICO;Mauro Ramos de Oliveira
Marcos Evangelista;VOL;FOLCLORICO/HISTORICO;
Zagallo;VOL;FOLCLORICO/HISTORICO;Mário Jorge Lobo Zagallo
Tardelli;VOL;FOLCLORICO/HISTORICO;
Toni Kroos;VOL;FOLCLORICO/HISTORICO;
Patrick Vieira;VOL;FOLCLORICO/HISTORICO;
Edgar Davids;VOL;FOLCLORICO/HISTORICO;O Pitbull
Didier Deschamps;VOL;FOLCLORICO/HISTORICO;O Portador d'água
Claude Makélélé;VOL;FOLCLORICO/HISTORICO;
Xabi Alonso;VOL;FOLCLORICO/HISTORICO;
Javier Mascherano;VOL;FOLCLORICO/HISTORICO;El Jefecito
Felipe Melo;VOL;JOGADOR BASE;
Cleber Lazaroni;VOL;JOGADOR BASE;
Fernando;VOL;JOGADOR BASE;Fernando Reges
Sergio Busquets;VOL;JOGADOR BASE;
Casemiro;VOL;JOGADOR BASE;Carlos Henrique Casimiro
Lucas Leiva;VOL;JOGADOR BASE;Lucas Rodrigues Moura da Silva
Fernandinho;VOL;JOGADOR BASE;Fernando Luiz Roza
Paulinho;VOL;JOGADOR BASE;Anderson Luís de Abreu Oliveira
Thiago Alcântara;VOL;JOGADOR BASE;
N'Golo Kanté;VOL;JOGADOR BASE;
Paul Pogba;VOL;JOGADOR BASE;
Blaise Matuidi;VOL;JOGADOR BASE;
Luka Modrić;VOL;JOGADOR BASE;
Ivan Rakitić;VOL;JOGADOR BASE;
Marcelo Brozović;VOL;JOGADOR BASE;
Matthijs de Ligt;VOL;JOGADOR BASE;
Frenkie de Jong;VOL;JOGADOR BASE;
Georginio Wijnaldum;VOL;JOGADOR BASE;
Nigel de Jong;VOL;JOGADOR BASE;
Wesley Sneijder;VOL;JOGADOR BASE;
Clarence Seedorf;VOL;JOGADOR BASE;
Marc Overmars;VOL;JOGADOR BASE;
Frank de Boer;VOL;JOGADOR BASE;
Ronald de Boer;VOL;JOGADOR BASE;
Morten Olsen;VOL;JOGADOR BASE;
Michael Essien;VOL;JOGADOR BASE;O Bison
Emmanuel Adebayor;VOL;JOGADOR BASE;
Yaya Touré;VOL;JOGADOR BASE;
Cheick Tioté;VOL;JOGADOR BASE;
Gennaro Gattuso;VOL;JOGADOR BASE;Ringhio
Daniele De Rossi;VOL;JOGADOR BASE;
Andrea Pirlo;VOL;JOGADOR BASE;Il Maestro
Massimo Ambrosini;VOL;JOGADOR BASE;
Zvonimir Boban;VOL;FOLCLORICO/HISTORICO;
Igor Stimac;VOL;JOGADOR BASE;
Ognjen Vukojević;VOL;JOGADOR BASE;
Michael Ballack;VOL;FOLCLORICO/HISTORICO;O Capitão
Bastian Schweinsteiger;VOL;JOGADOR BASE;Schweini
Sami Khedira;VOL;JOGADOR BASE;
Stefan Kießling;VOL;JOGADOR BASE;
Marouane Fellaini;VOL;JOGADOR BASE;
Axel Witsel;VOL;JOGADOR BASE;
Steven Gerrard;VOL;FOLCLORICO/HISTORICO;
Frank Lampard;VOL;FOLCLORICO/HISTORICO;
Paul Scholes;VOL;JOGADOR BASE;
David Beckham;VOL;FOLCLORICO/HISTORICO;
Nicky Butt;VOL;JOGADOR BASE;
Emre Belözoğlu;VOL;JOGADOR BASE;
Hasan Şaş;VOL;JOGADOR BASE;
Tugay Kerimoğlu;VOL;JOGADOR BASE;
Hamit Altıntop;VOL;JOGADOR BASE;
Halil Altıntop;VOL;JOGADOR BASE;
Park Ji-sung;VOL;JOGADOR BASE;
Ki Sung-yueng;VOL;JOGADOR BASE;
Lee Young-pyo;VOL;JOGADOR BASE;
Hidetoshi Nakata;VOL;FOLCLORICO/HISTORICO;
Shinji Kagawa;VOL;JOGADOR BASE;
Shunsuke Nakamura;VOL;JOGADOR BASE;
Gus Poyet;VOL;JOGADOR BASE;
Pablo Bengoechea;VOL;JOGADOR BASE;
Bruno Peres;VOL;JOGADOR BASE;
Arturo Vidal;VOL;JOGADOR BASE;
Gary Medel;VOL;JOGADOR BASE;El Pitbull
Marcos González;VOL;JOGADOR BASE;
Juan Pablo Sorín;VOL;JOGADOR BASE;
Gabriel Heinze;VOL;JOGADOR BASE;
Maxi Rodríguez;VOL;JOGADOR BASE;La Fiera
Esteban Cambiasso;VOL;JOGADOR BASE;
Guido Rodríguez;VOL;JOGADOR BASE;
Alexis Mac Allister;VOL;JOGADOR BASE;
Enzo Fernández;VOL;JOGADOR BASE;
Rodrigo De Paul;VOL;JOGADOR BASE;
Leandro Paredes;VOL;JOGADOR BASE;
Thomas Müller;VOL;JOGADOR BASE;O Raummdeuter
Jules Koundé;VOL;JOGADOR BASE;
Eduardo Camavinga;VOL;JOGADOR BASE;
Aurélien Tchouaméni;VOL;JOGADOR BASE;
Mario Fernandes;VOL;JOGADOR BASE;
Denis Cheryshev;VOL;JOGADOR BASE;
Aleksandr Golovin;VOL;JOGADOR BASE;
Ivan Perisic;VOL;JOGADOR BASE;
Ante Rebic;VOL;JOGADOR BASE;
Ethan Nwaneri;VOL;JOGADOR BASE;
Granit Xhaka;VOL;JOGADOR BASE;
Xherdan Shaqiri;VOL;JOGADOR BASE;
Blerim Dzemaili;VOL;JOGADOR BASE;
Valon Behrami;VOL;JOGADOR BASE;
Pelé;MEI;LENDA;Edson Arantes do Nascimento
Johan Cruyff;MEI;LENDA;O Profeta do Gol
Michel Platini;MEI;LENDA;
Zinedine Zidane;MEI;LENDA;Zizou
Ronaldinho Gaúcho;MEI;LENDA;Ronaldo de Assis Moreira
Garrincha;MEI;FOLCLORICO/HISTORICO;Manuel Francisco dos Santos, Alegria do Povo
Rivelino;MEI;FOLCLORICO/HISTORICO;Roberto Rivelino
Socrates;MEI;FOLCLORICO/HISTORICO;Sócrates Brasileiro Sampaio de Souza Vieira de Oliveira
Romário;MEI;FOLCLORICO/HISTORICO;Romário de Souza Faria
Arjen Robben;MEI;FOLCLORICO/HISTORICO;
Xavi Hernandez;MEI;FOLCLORICO/HISTORICO;
Iniesta;MEI;FOLCLORICO/HISTORICO;Andrés Iniesta Luján
Zico;MEI;FOLCLORICO/HISTORICO;Arthur Antunes Coimbra, O Galinho de Quintino
Diego;MEI;FOLCLORICO/HISTORICO;Diego Ribas da Cunha
Robinho;MEI;FOLCLORICO/HISTORICO;Robson de Souza
Kaká;MEI;FOLCLORICO/HISTORICO;Ricardo Izecson dos Santos Leite
Juan Román Riquelme;MEI;FOLCLORICO/HISTORICO;
Rivaldo;MEI;JOGADOR BASE;Vitor Borba Ferreira
Neymar;MEI;JOGADOR BASE;Neymar da Silva Santos Júnior
Oscar;MEI;JOGADOR BASE;Oscar dos Santos Emboaba Júnior
Lucas Moura;MEI;JOGADOR BASE;
Willian;MEI;JOGADOR BASE;Willian Borges da Silva
Philippe Coutinho;MEI;JOGADOR BASE;Philippe Coutinho Correia
Pato;MEI;JOGADOR BASE;Alexandre Rodrigues da Silva
Gabriel Barbosa;MEI;JOGADOR BASE;Gabigol
Firmino;MEI;JOGADOR BASE;Roberto Firmino Barbosa de Oliveira
Antony;MEI;JOGADOR BASE;Antony Matheus dos Santos
Vinicius Junior;MEI;JOGADOR BASE;Vinicius José Paixão de Oliveira Júnior, Vini Jr.
Rodrygo;MEI;JOGADOR BASE;Rodrygo Silva de Goes
Eric Cantona;MEI;JOGADOR BASE;
Thierry Henry;MEI;JOGADOR BASE;
Nicolas Anelka;MEI;JOGADOR BASE;
Robert Pires;MEI;JOGADOR BASE;
Samir Nasri;MEI;JOGADOR BASE;
Karim Benzema;MEI;JOGADOR BASE;
Antoine Griezmann;MEI;JOGADOR BASE;
Kylian Mbappé;MEI;JOGADOR BASE;
Ousmane Dembélé;MEI;JOGADOR BASE;
David Trezeguet;MEI;JOGADOR BASE;
Franck Ribery;MEI;JOGADOR BASE;
Wayne Rooney;MEI;JOGADOR BASE;
Michael Owen;MEI;JOGADOR BASE;
Joe Cole;MEI;JOGADOR BASE;
Peter Crouch;MEI;JOGADOR BASE;
Dele Alli;MEI;JOGADOR BASE;
Raheem Sterling;MEI;JOGADOR BASE;
Jack Grealish;MEI;JOGADOR BASE;
Marcus Rashford;MEI;JOGADOR BASE;
Phil Foden;MEI;JOGADOR BASE;
Rubén Moran;MEI;JOGADOR BASE;
Kevin De Bruyne;MEI;JOGADOR BASE;
Eden Hazard;MEI;JOGADOR BASE;
Dries Mertens;MEI;JOGADOR BASE;
Romelu Lukaku;MEI;JOGADOR BASE;
Dennis Bergkamp;MEI;JOGADOR BASE;O Não Voador
Ruud van Nistelrooy;MEI;JOGADOR BASE;
Ruud Gullit;MEI;FOLCLORICO/HISTORICO;
Marco van Basten;MEI;FOLCLORICO/HISTORICO;O Cisne de Utrecht
Robben Arjen;MEI;JOGADOR BASE;
Rafael van der Vaart;MEI;JOGADOR BASE;
Dirk Kuyt;MEI;JOGADOR BASE;
Memphis Depay;MEI;JOGADOR BASE;
Virgil Donk;MEI;JOGADOR BASE;
Raúl;MEI;JOGADOR BASE;Raúl González Blanco
David Villa;MEI;JOGADOR BASE;
Fernando Torres;MEI;JOGADOR BASE;El Niño
Juan Mata;MEI;JOGADOR BASE;
Cesc Fàbregas;MEI;JOGADOR BASE;
Pedro Rodríguez;MEI;JOGADOR BASE;
Ferran Torres;MEI;JOGADOR BASE;
Joao Felix;MEI;JOGADOR BASE;
Bernardo Silva;MEI;JOGADOR BASE;
Bruno Fernandes;MEI;JOGADOR BASE;
Luís Figo;MEI;FOLCLORICO/HISTORICO;
Rui Costa;MEI;FOLCLORICO/HISTORICO;
Manuel Rui Costa;MEI;JOGADOR BASE;
Cristiano Ronaldo;MEI;JOGADOR BASE;CR7
Leo Messi;MEI;JOGADOR BASE;La Pulga
Sergio Aguero;MEI;JOGADOR BASE;El Kun
Gonzalo Higuain;MEI;JOGADOR BASE;El Pipita
Angel Di Maria;MEI;JOGADOR BASE;El Fideo
Pablo Aimar;MEI;FOLCLORICO/HISTORICO;
Martin Palermo;MEI;FOLCLORICO/HISTORICO;El Loco
Gabriel Batistuta;MEI;FOLCLORICO/HISTORICO;Batigol
Lautaro Martinez;MEI;JOGADOR BASE;
Julian Alvarez;MEI;JOGADOR BASE;La Araña
Joaquín Correa;MEI;JOGADOR BASE;
Paulo Dybala;MEI;JOGADOR BASE;La Joya
Fernando Redondo;MEI;JOGADOR BASE;
José Luis López;MEI;JOGADOR BASE;
Klaus Fischer;MEI;JOGADOR BASE;
Rudi Völler;MEI;FOLCLORICO/HISTORICO;
Karl-Heinz Rummenigge;MEI;FOLCLORICO/HISTORICO;
Miroslav Klose;MEI;JOGADOR BASE;
Lukas Podolski;MEI;JOGADOR BASE;
Mario Götze;MEI;JOGADOR BASE;
André Schürrle;MEI;JOGADOR BASE;
Timo Werner;MEI;JOGADOR BASE;
Serge Gnabry;MEI;JOGADOR BASE;
Leroy Sané;MEI;JOGADOR BASE;
Kaoru Mitoma;MEI;JOGADOR BASE;
Ritsu Doan;MEI;JOGADOR BASE;
Ivan Lendl;MEI;JOGADOR BASE;
Andriy Shevchenko;MEI;FOLCLORICO/HISTORICO;
Ion Vlad;MEI;JOGADOR BASE;
