Nome,Posicao,Categoria,Sinonimos
Mauro Ramos,ZAG,Lenda,"Mauro Ramos de Oliveira, O Capitão de 62"
Lúcio,ZAG,Lenda,"Lucimar Ferreira da Silva, O Xerife do Penta"
Aldair,ZAG,Lenda,"Aldair Nascimento dos Santos, Pluto"
Luís Pereira,ZAG,Lenda,"Luiz Edmundo Pereira, Chevrolet"
Domingos da Guia,ZAG,Lenda,Divino Mestre
Júnior Baiano,ZAG,Folclórico/Histórico,"Raimundo Ferreira Ramos Júnior, O Rei das Expulsões"
David Luiz,ZAG,Folclórico/Histórico,"David Luiz Moreira Marinho, ""Alegria pro meu povo"""
Dante,ZAG,Folclórico/Histórico,"Dante Bonfim Costa Santos, ""Conhece a Alemanha"""
Edmílson,ZAG,Folclórico/Histórico,Edmílson José Gomes de Moraes (Gol de Bicicleta em 2002)
Fontana,ZAG,Folclórico/Histórico,"José de Anchieta Fontana, O Zagueiro ""Vaqueiro"""
Márcio Santos,ZAG,Folclórico/Histórico,Márcio Roberto dos Santos (Herói e vilão dos pênaltis em 94)
Brito,ZAG,Folclórico/Histórico,"Hércules Brito Ruas, O Briguento de 70"
Piazza,ZAG,Folclórico/Histórico,Wilson da Silva Piazza (Volante improvisado na zaga)
Geraldão,ZAG,Folclórico/Histórico,Geraldo Pereira de Oliveira
Naldo,ZAG,Folclórico/Histórico,Ronaldo Aparecido Rodrigues
Henrique,ZAG,Folclórico/Histórico,Henrique Adriano Buss (Convocação contestada em 2014)
Alex,ZAG,Folclórico/Histórico,"Alex Rodrigo Dias da Costa, O Tanque"
Thiago Silva,ZAG,Jogador Base,"O Monstro, Thiago Emiliano da Silva"
Marquinhos,ZAG,Jogador Base,Marcos Aoás Corrêa
Éder Militão,ZAG,Jogador Base,Éder Gabriel Militão
Juan,ZAG,Jogador Base,Juan Silveira dos Santos
Roque Júnior,ZAG,Jogador Base,José Vítor Roque Júnior
Ricardo Rocha,ZAG,Jogador Base,"Ricardo Roberto Barreto da Rocha, O Xerife"
Ronaldão,ZAG,Jogador Base,Ronaldo Rodrigues de Jesus
Oscar,ZAG,Jogador Base,José Oscar Bernardi
Luisinho,ZAG,Jogador Base,Luiz Carlos Ferreira
Edinho,ZAG,Jogador Base,Edino Nazareth Filho
Amaral,ZAG,Jogador Base,João Justino Amaral dos Santos
Mozer,ZAG,Jogador Base,José Carlos Nepomuceno Mozer
Ricardo Gomes,ZAG,Jogador Base,Ricardo Raimundo Gomes
Miranda,ZAG,Jogador Base,João Miranda de Souza Filho
Djalma Dias,ZAG,Jogador Base,Djalma Pereira Dias Júnior
Orlando Peçanha,ZAG,Jogador Base,Orlando de Oliveira Peçanha
Zózimo,ZAG,Jogador Base,Zózimo Alves Calazães
Hércules,ZAG,Jogador Base,Hércules de Miranda
Jurandir,ZAG,Jogador Base,Jurandir de Freitas
Joel Camargo,ZAG,Jogador Base,Joel Camargo
Zecão,ZAG,Jogador Base,José Claudinei Georgini
Dadá,ZAG,Jogador Base,Darci Guimarães Barbosa
Geraldo,ZAG,Jogador Base,Geraldo Freitas Nascimento
Marinho Peres,ZAG,Jogador Base,Mário Peres Ulibarri
Zé Maria,ZAG,Jogador Base,José Maria Rodrigues Alves
Marco Antônio,ZAG,Jogador Base,Marco Antônio Feliciano
Brunoro,ZAG,Jogador Base,José Carlos Brunoro
Evaristo,ZAG,Jogador Base,Evaristo de Macedo
Chiquinho,ZAG,Jogador Base,Francisco Jesuíno Avanzi
Nilo,ZAG,Jogador Base,Nilo Murtinho Braga
Itália,ZAG,Jogador Base,Luiz Gervazoni
Brilhante,ZAG,Jogador Base,Alfredo Brilhante Mendonça
Sylvio Hoffman,ZAG,Jogador Base,Sylvio Hoffman Mazzi
Luís Luz,ZAG,Jogador Base,Luís dos Santos Luz
Machado,ZAG,Jogador Base,Arthur Machado
Nariz,ZAG,Jogador Base,Álvaro Lopes Cançado
Jaú,ZAG,Jogador Base,Eustáquio de Almeida
Zezé Procópio,ZAG,Jogador Base,José Procópio Mendes
Augusto,ZAG,Jogador Base,Augusto da Costa (Capitão de 50)
Juvenal,ZAG,Jogador Base,Juvenal Amarijo
Ely,ZAG,Jogador Base,Ely do Amparo
Pinheiro,ZAG,Jogador Base,João Carlos Batista Pinheiro
Nilton Santos,LAT,Lenda,Enciclopédia do Futebol
Djalma Santos,LAT,Lenda,"Djalma, Bicampeão Mundial (58/62)"
Carlos Alberto Torres,LAT,Lenda,"Capita, O Capitão do Tri"
Cafu,LAT,Lenda,"Marcos Evangelista de Morais, O Capitão do Penta"
Roberto Carlos,LAT,Lenda,Roberto Carlos da Silva Rocha
Branco,LAT,Lenda,"Cláudio Ibraim Vaz Leal, O Homem da Falta em 94"
Leandro,LAT,Folclórico/Histórico,José Leandro de Souza Ferreira (A recusa em 86)
Daniel Alves,LAT,Folclórico/Histórico,Dani Alves (Recordista de títulos e polémicas)
Josimar,LAT,Folclórico/Histórico,Herói de 86 (Gols improváveis)
Maicon,LAT,Folclórico/Histórico,Maicon Douglas Sisenando (Gol sem ângulo em 2010)
Nelinho,LAT,Folclórico/Histórico,Manoel Rezende de Mattos Cabral (Curva de 78)
Júnior,LAT,Folclórico/Histórico,Maestro; Capacete
Felipe Luís,LAT,Folclórico/Histórico,Filipe Luís Kasmirski
Marcelo,LAT,Folclórico/Histórico,Marcelo Vieira da Silva Júnior (O Mago da lateral)
Zina,LAT,Folclórico/Histórico,"José Maria Rodrigues Alves, Zé Maria (O Cavalo de Aço)"
Russo,LAT,Folclórico/Histórico,José Carlos da Costa Araújo
Gilberto,LAT,Folclórico/Histórico,Gilberto da Silva Melo (Gol em 2006)
Armandinho,LAT,Folclórico/Histórico,Armando dos Santos
Jorginho,LAT,Jogador Base,Jorge de Amorim Campos (Campeão 94)
Leonardo,LAT,Jogador Base,Leonardo Nascimento de Araújo (Cotovelada em 94)
Danilo,LAT,Jogador Base,Danilo Luiz da Silva
Alex Sandro,LAT,Jogador Base,Alex Sandro Lobo Silva
Fagner,LAT,Jogador Base,Fagner Conserva Lemos
Michel Bastos,LAT,Jogador Base,Michel Fernandes Bastos
Cicinho,LAT,Jogador Base,Cícero João de Cézare
Belletti,LAT,Jogador Base,Juliano Haus Belletti
Zé Roberto,LAT,Jogador Base,José Roberto da Silva Júnior (Lateral em 98)
Éder Militão,LAT,Jogador Base,Improvisado na lateral em 2022
Edevaldo,LAT,Jogador Base,Edevaldo de Freitas
Rodrigues Neto,LAT,Jogador Base,José Rodrigues Neto
Wladimir,LAT,Jogador Base,Wladimir Rodrigues dos Santos
Eurico,LAT,Jogador Base,Eurico Pedro de Faria
Marco Antônio,LAT,Jogador Base,Marco Antônio Feliciano
Everaldo,LAT,Jogador Base,Everaldo Marques da Silva (Campeão em 70)
Paulo Henrique,LAT,Jogador Base,Paulo Henrique Souza de Oliveira
Rildo,LAT,Jogador Base,Rildo da Costa Menezes
Fidélis,LAT,Jogador Base,José Maria Fidélis dos Santos
Altair,LAT,Jogador Base,Altair Gomes de Figueiredo
Oreco,LAT,Jogador Base,Valdemar Rodrigues Martins
De Sordi,LAT,Jogador Base,José Ely de Miranda
Djalma Santos,LAT,Jogador Base,Repetido para compor edições 54/66
Mauro,LAT,Jogador Base,Mauro Ramos de Oliveira (Início de carreira)
Santos,LAT,Jogador Base,Djalma Santos (Edição 54)
Bigode,LAT,Jogador Base,João Ferreira (O lateral de 50)
Augusto,LAT,Jogador Base,Augusto da Costa
Norival,LAT,Jogador Base,Norival de Oliveira
Jaú,LAT,Jogador Base,Eustáquio de Almeida
Canhoto,LAT,Jogador Base,Milton de Medeiros
Pamplona,LAT,Jogador Base,Estanislau de Figueiredo Pamplona
Benevenuto,LAT,Jogador Base,Humberto de Araújo Benevenuto
Brilhante,LAT,Jogador Base,Alfredo Brilhante Mendonça
Itália,LAT,Jogador Base,Luiz Gervazoni
Hermógenes,LAT,Jogador Base,Hermógenes Valente Fonseca
Tinoco,LAT,Jogador Base,Alfredo Tinoco
Machado,LAT,Jogador Base,Arthur Machado
Lopes,LAT,Jogador Base,José dos Santos Lopes
Zezé Procópio,LAT,Jogador Base,José Procópio Mendes
Bauer,LAT,Jogador Base,José Carlos Bauer (O Monstro do Maracanã)
Alfredo Ramos,LAT,Jogador Base,Alfredo Ramos Castilho
Arantinho,LAT,Jogador Base,Edson Arantes (Improvisado em treinos)
Gérson,VOL,Lenda,Canhotinha de Ouro (Copa 70)
Didi,VOL,Lenda,"Waldir Pereira, O Inventor da Folha Seca; Folha Seca"
Zito,VOL,Lenda,"José Ely de Miranda, O Gerente"
Clodoaldo,VOL,Lenda,Clodoaldo Tavares Santana (Drible em 70)
Falcão,VOL,Lenda,Rei de Roma; Paulo Roberto Falcão
Gilberto Silva,VOL,Lenda,Invisível (Pilar do Penta em 2002)
Felipe Melo,VOL,Folclórico/Histórico,Pitbull (Copa 2010 - Expulsão e Polêmica)
Émerson,VOL,Folclórico/Histórico,Capitão que se lesionou no gol (2002)
Mazinho,VOL,Folclórico/Histórico,Braço Direito de Romário em 94
Toninho Cerezo,VOL,Folclórico/Histórico,Antônio Carlos Cerezo (O erro e a redenção)
Amaral,VOL,Folclórico/Histórico,"Alexandre da Silva Mariano, Coveiro"
Vampeta,VOL,Folclórico/Histórico,Marcos André Batista Santos (As cambalhotas)
Edmílson,VOL,Folclórico/Histórico,Zagueiro/Volante do Penta
Piazza,VOL,Folclórico/Histórico,Wilson da Silva Piazza
Bauer,VOL,Folclórico/Histórico,"José Carlos Bauer, O Monstro do Maracanã"
Fernandinho,VOL,Folclórico/Histórico,Fernando Luiz Roza (Marcado pelo 7x1)
Paulinho,VOL,Folclórico/Histórico,José Paulo Bezerra Maciel Júnior
Josué,VOL,Folclórico/Histórico,Josué Anunciado de Oliveira
Casemiro,VOL,Jogador Base,Carlos Henrique Casemiro
Dunga,VOL,Jogador Base,Carlos Caetano Bledorn Verri (Capitão do Tetra)
Mauro Silva,VOL,Jogador Base,Mauro da Silva Gomes (Equilíbrio de 94)
César Sampaio,VOL,Jogador Base,Carlos César Sampaio Campos (Gols em 98)
Emerson,VOL,Jogador Base,Emerson Ferreira da Rosa
Kléberson,VOL,Jogador Base,José Kléberson Pereira
Mineiro,VOL,Jogador Base,Hélton da Silva Arruda
Ramires,VOL,Jogador Base,Ramires Santos do Nascimento
Luiz Gustavo,VOL,Jogador Base,Luiz Gustavo Dias
Fernandinho,VOL,Jogador Base,Fernandinho (Copa 2018)
Fred,VOL,Jogador Base,Frederico Rodrigues de Paula Santos
Fabinho,VOL,Jogador Base,Fábio Henrique Tavares
Bruno Guimarães,VOL,Jogador Base,Bruno Guimarães Rodriguez Moura
Douglas Luiz,VOL,Jogador Base,Douglas Luiz Soares de Paulo
Batista,VOL,Jogador Base,João Batista da Silva
Elzo,VOL,Jogador Base,Elzo Aloísio Coelho (Destaque em 86)
Alemão,VOL,Jogador Base,Ricardo Rogério de Brito
Silas,VOL,Jogador Base,Paulo Silas do Prado Pereira
Tita,VOL,Jogador Base,Milton Queiroz da Paixão
Valdo,VOL,Jogador Base,Valdo Cândido de Oliveira
Chicão,VOL,Jogador Base,Francisco Jesuíno Avanzi (Copa 78)
Pintado,VOL,Jogador Base,Luís Carlos de Oliveira Preto
Zinho,VOL,Jogador Base,Crizam César de Oliveira Filho (Em 94)
Flávio Conceição,VOL,Jogador Base,Flávio da Conceição
Doriva,VOL,Jogador Base,Dorival Guidoni Júnior
Ricardinho,VOL,Jogador Base,Ricardo Luís Pozzi Rodrigues
Elias,VOL,Jogador Base,Elias Mendes Trindade
Hernanes,VOL,Jogador Base,Anderson Hernanes de Carvalho Viana Lima
Dino Sani,VOL,Jogador Base,Dino Sani (Campeão em 58)
Zequinha,VOL,Jogador Base,José Ferreira Franco
Mengálvio,VOL,Jogador Base,Mengálvio Pedro Figueiró
Denílson,VOL,Jogador Base,Denílson Custódio Machado (Copa 66)
Haílton,VOL,Jogador Base,Haílton Corrêa de Arruda (Manga)
Danilo Alvim,VOL,Jogador Base,O Príncipe (Copa 50)
Ely,VOL,Jogador Base,Ely do Amparo
Bigode,VOL,Jogador Base,João Ferreira
Argemiro,VOL,Jogador Base,Argemiro Pinheiro da Silva
Brandão,VOL,Jogador Base,José Augusto Brandão
Zezé Procópio,VOL,Jogador Base,José Procópio Mendes
Britto,VOL,Jogador Base,Hércules Brito Ruas (Como volante/fixo)
Zico,MEI,Lenda,"Arthur Antunes Coimbra, O Galinho de Quintino"
Rivellino,MEI,Lenda,"Roberto Rivellino, Patada Atômica"
Ronaldinho Gaúcho,MEI,Lenda,Bruxo; Ronaldo de Assis Moreira
Kaká,MEI,Lenda,Ricardo Izecson dos Santos Leite
Sócrates,MEI,Lenda,"Sócrates Brasileiro Sampaio de Souza Vieira de Oliveira, O Doutor"
Didi,MEI,Lenda,"Waldir Pereira, O Príncipe Etíope"
Raí,MEI,Folclórico/Histórico,Raí Souza Vieira de Oliveira (O 10 que virou reserva em 94)
Neto,MEI,Folclórico/Histórico,José Ferreira Neto (O corte de 90 que virou lenda urbana)
Valdo,MEI,Folclórico/Histórico,Valdo Cândido de Oliveira (O operário de 86/90)
Zinho,MEI,Folclórico/Histórico,"Crizam César de Oliveira Filho, Enceradeira"
Juninho Paulista,MEI,Folclórico/Histórico,Oswaldo Giroldo Júnior (Pequeno Gigante de 2002)
Ricardinho,MEI,Folclórico/Histórico,
Paulo Henrique Ganso,MEI,Folclórico/Histórico,
Diego Ribas,MEI,Folclórico/Histórico,Diego Ribas da Cunha
Douglas Costa,MEI,Folclórico/Histórico,
Everton Ribeiro,MEI,Folclórico/Histórico,Everton Augusto de Barros Ribeiro
Alex,MEI,Folclórico/Histórico,Alexsandro de Souza (O gênio fora das Copas)
Ademir da Guia,MEI,Folclórico/Histórico,Divino (Apenas um jogo em 74)
Bebeto,ATA,Jogador Base,José Roberto Gama de Oliveira
Leonardo,MEI,Jogador Base,Leonardo Nascimento de Araújo (O 10 de 98)
Oscar,MEI,Jogador Base,Oscar dos Santos Emboaba Júnior (Gol de honra no 7x1)
Philippe Coutinho,MEI,Jogador Base,
Willian,MEI,Jogador Base,Willian Borges da Silva (Foguetinho)
Lucas Paquetá,MEI,Jogador Base,Lucas Tolentino Coelho de Lima
Ramires,MEI,Jogador Base,
Elano,MEI,Jogador Base,Elano Blumer (Destaque em 2010)
Júlio Baptista,MEI,Jogador Base,
Denílson,MEI,Jogador Base,Denílson de Oliveira Araújo (Dribles em 2002)
Edílson,MEI,Jogador Base,Capetinha
Juninho Pernambucano,MEI,Jogador Base,Rei do Tiro Livre
Tostão,MEI,Jogador Base,Eduardo Gonçalves de Andrade (O 9 que era 10)
Dirceu,MEI,Jogador Base,Dirceu José Guimarães (Destaque em 78)
Mendonça,MEI,Jogador Base,Milton da Cunha Mendonça
Zenon,MEI,Jogador Base,Zenon de Souza Farias
Batista,MEI,Jogador Base,João Batista da Silva
Silas,MEI,Jogador Base,Paulo Silas do Prado Pereira
Tita,MEI,Jogador Base,Milton Queiroz da Paixão
Pita,MEI,Jogador Base,Edvaldo Oliveira Chaves
Geovani,MEI,Jogador Base,Geovani Silva
Edu,MEI,Jogador Base,Jonas Eduardo Américo
Jair da Rosa Pinto,MEI,Jogador Base,Jair Rosa Pinto (Craque de 50)
Zizinho,MEI,Jogador Base,Mestre Ziza
Danilo Alvim,MEI,Jogador Base,
Ademir Menezes,MEI,Jogador Base,Queixada (Artilheiro de 50)
Ipojucan,MEI,Jogador Base,Ipojucan Lins de Araújo
Pinga,MEI,Jogador Base,José Lázaro Robles
Dino Sani,MEI,Jogador Base,Dino Sani
Moacir,MEI,Jogador Base,Moacir Claudino Pinto
Bené,MEI,Jogador Base,Benedito de Moraes Menezes
Mengálvio,MEI,Jogador Base,Mengálvio Pedro Figueiró
Lopes,MEI,Jogador Base,José dos Santos Lopes
Romeu Pellicciari,MEI,Jogador Base,
Waldemar de Brito,MEI,Jogador Base,
Tim,MEI,Jogador Base,Elba de Pádua Lima (O estrategista)
Perácio,MEI,Jogador Base,José Perácio
Preguinho,MEI,Jogador Base,João Coelho Neto (1º gol do Brasil em Copas)
Araken Patusca,MEI,Jogador Base,Araken Patusca da Silveira
Milo,MEI,Jogador Base,Murilo de Souza
Nilo,MEI,Jogador Base,Nilo Murtinho Braga
Pelé,ATA,Lenda,"Edson Arantes do Nascimento, O Rei"
Ronaldo,ATA,Lenda,"Fenômeno, R9"
Romário,ATA,Lenda,"Baixinho, Gênio da Grande Área"
Garrincha,ATA,Lenda,"Anjo das Pernas Tortas, Mané"
Vavá,ATA,Lenda,"Peito de Aço, Bicampeão 58/62"
Jairzinho,ATA,Lenda,Furacão da Copa de 70
Dadá Maravilha,ATA,Folclórico/Histórico,"Dario José dos Santos, ""Beija-flor"""
Edmundo,ATA,Folclórico/Histórico,Animal (Copa 98)
Denílson,ATA,Folclórico/Histórico,
Fred,ATA,Folclórico/Histórico,"Frederico Chaves Guedes (O ""Cone"" e a redenção)"
Hulk,ATA,Folclórico/Histórico,Givanildo Vieira de Sousa
Serginho Chulapa,ATA,Folclórico/Histórico,
Adriano Imperador,ATA,Folclórico/Histórico,Didico (Copa 2006)
Richarlison,ATA,Folclórico/Histórico,Pombo (Gol de voleio 2022)
Robinho,ATA,Folclórico/Histórico,
Renato Gaúcho,ATA,Folclórico/Histórico,
Mirandinha,ATA,Folclórico/Histórico,
Müller,ATA,Folclórico/Histórico,Luís Antônio Corrêa da Costa (Gols em 3 Copas)
Neymar Jr,ATA,Jogador Base,Neymar da Silva Santos Júnior
Vinícius Júnior,ATA,Jogador Base,Vini Jr
Bebeto,ATA,Jogador Base,José Roberto Gama de Oliveira
Careca,ATA,Jogador Base,Antônio de Oliveira Filho
Reinaldo,ATA,Jogador Base,José Reinaldo de Lima
Casagrande,ATA,Jogador Base,Walter Casagrande Júnior
Luís Fabiano,ATA,Jogador Base,Fabuloso
Gabriel Jesus,ATA,Jogador Base,Gabriel Fernando de Jesus
Rodrygo,ATA,Jogador Base,Rodrygo Goes
Raphinha,ATA,Jogador Base,Raphael Dias Belloli
Antony,ATA,Jogador Base,Antony Matheus dos Santos
Firmino,ATA,Jogador Base,Roberto Firmino Barbosa de Oliveira
Douglas Costa,ATA,Jogador Base,Douglas Costa de Souza
Grafite,ATA,Jogador Base,Edinaldo Batista Libânio
Nilmar,ATA,Jogador Base,Nilmar Honorato da Silva
Ricardo Oliveira,ATA,Jogador Base,Ricardo de Oliveira
Luizão,ATA,Jogador Base,Luiz Carlos Bombonato Goulart
Amoroso,ATA,Jogador Base,Márcio Amoroso dos Santos
Élber,ATA,Jogador Base,Giovane Élber de Souza
Jardel,ATA,Jogador Base,Mário Jardel Almeida Ribeiro
Euller,ATA,Jogador Base,Filho do Vento
Dudu Céarense,ATA,Jogador Base,Alessandro Silva de Araújo
João Paulo,ATA,Jogador Base,Sérgio Luís Donizetti
César Sampaio,ATA,Jogador Base,Carlos César Sampaio (Gols em 98)
Palhinha,ATA,Jogador Base,Jorge Ferreira da Silva
Evair,ATA,Jogador Base,Evair Aparecido Paulino
Viola,ATA,Jogador Base,Paulo Sérgio Rosa
Paulo Sérgio,ATA,Jogador Base,Paulo Sérgio Silvestre do Nascimento
Ronaldão,ATA,Jogador Base,Ronaldo Rodrigues de Jesus
Tostão,ATA,Jogador Base,Eduardo Gonçalves de Andrade
Edu,ATA,Jogador Base,Jonas Eduardo Américo
Coutinho,ATA,Jogador Base,Antônio Wilson Vieira Honório
Pepe,ATA,Jogador Base,"José Macia, O Canhão da Vila"
Amarildo,ATA,Jogador Base,Possesso (Substituto de Pelé em 62)
Zagallo,ATA,Jogador Base,"Mário Jorge Lobo Zagallo, O Velho Lobo"
Canhoteiro,ATA,Jogador Base,José Ribamar de Oliveira
Julinho Botelho,ATA,Jogador Base,Júlio Botelho
Ademir Menezes,ATA,Jogador Base,Ademir Marques de Menezes (Artilheiro de 50)
Zizinho,ATA,Jogador Base,Mestre Ziza
Chico,ATA,Jogador Base,Francisco Aramburu
Baltazar,ATA,Jogador Base,Cabecinha de Ouro
Leônidas da Silva,ATA,Jogador Base,"Diamante Negro, Homem Borracha"
