Nome,Posicao,Categoria,Sinonimos
Nathan,ZAG,JOGADOR BASE,Nathan Raphael de Almeida
Tobio,ZAG,JOGADOR BASE,Fernando Omar Tobio
Juninho,ZAG,JOGADOR BASE,José de Araújo Júnior
Thiago Martins,ZAG,JOGADOR BASE,Thiago Martins Bueno
Yerry Mina,JOGADOR BASE,JOGADOR BASE,Mina
Naves,ZAG,JOGADOR BASE,Kaique Naves
Michel,ZAG,JOGADOR BASE,Michel Augusto Modesto Rafael
Vitor Reis,ZAG,JOGADOR BASE,Vitor de Oliveira Reis
Edmílson,ZAG,JOGADOR BASE,Edmílson dos Santos Silva
Agnaldo Liz,ZAG,JOGADOR BASE,Agnaldo Liz Souza
Alexandre,ZAG,JOGADOR BASE,Alexandre da Silva Mariano
Ronaldão,ZAG,JOGADOR BASE,Ronaldo Rodrigues de Jesus
André Rocha,ZAG,JOGADOR BASE,André Rocha Machado
Bianchi,ZAG,JOGADOR BASE,Atílio Bianchi
Carnera,ZAG,JOGADOR BASE,Italo Carnera
Junqueira,ZAG,JOGADOR BASE,José Junqueira de Oliveira
Polaco,ZAG,JOGADOR BASE,Rodolpho Barteczko
Minuca,ZAG,JOGADOR BASE,Hermes da Rocha Barros
Baldocchi,ZAG,JOGADOR BASE,José Guilherme Baldocchi
Betão,ZAG,JOGADOR BASE,Roberto de Oliveira
Darinta,ZAG,JOGADOR BASE,Carlos Alberto Darinta
Márcio Alcântara,ZAG,JOGADOR BASE,Márcio Alcântara
Amaral,ZAG,JOGADOR BASE,João Justino Amaral dos Santos
Chiquinho,ZAG,JOGADOR BASE,Francisco Jesuíno Avanzi
Danilo,VOL,JOGADOR BASE,Danilo dos Santos de Oliveira
Gabriel Menino,VOL,JOGADOR BASE,Gabriel Vinícius Menino
Aníbal Moreno,VOL,JOGADOR BASE,Aníbal Ismael Moreno
Felipe Melo,VOL,Folclórico/Histórico,"Pitbull, Felipe Melo de Carvalho"
Amaral,VOL,Folclórico/Histórico,"Alexandre da Silva Mariano, Coveiro"
Galeano,VOL,JOGADOR BASE,Marcos Aurélio Galeano
Marcos Assunção,VOL,JOGADOR BASE,"Marcos dos Santos Assunção, Kid Bengala"
Pierre,VOL,JOGADOR BASE,Cassiano de Jesus Pierre
Chicão,VOL,Folclórico/Histórico,Francisco Jesuíno Avanzi
Josimar,VOL,Folclórico/Histórico,Josimar Rosado da Silva Tavares
Gláuber,VOL,Folclórico/Histórico,Gláuber Vian Rosa
Francis,VOL,Folclórico/Histórico,Francis de Oliveira
Jumar,VOL,Folclórico/Histórico,Jumar José da Costa Júnior
Erivélton,VOL,Folclórico/Histórico,Erivélton Emiliano da Silva
Makelele,VOL,Folclórico/Histórico,Leandro dos Santos de Jesus
Léo Lima,VOL,Folclórico/Histórico,Leonardo Lima da Silva
Gabriel,VOL,JOGADOR BASE,Gabriel Girotto Franco
Arouca,VOL,JOGADOR BASE,Marcos Arouca da Silva
Thiago Santos,VOL,JOGADOR BASE,"Thiago dos Santos, Cachorro Louco"
Matheus Fernandes,VOL,JOGADOR BASE,Matheus Fernandes Siqueira
Richard Ríos,VOL,JOGADOR BASE,Richard Ríos Montoya
Fabinho,VOL,JOGADOR BASE,Fabio Augusto Luciano Silva
Zé Rafael,VOL,JOGADOR BASE,José Rafael Vivian; Trem
Bruno Henrique,VOL,JOGADOR BASE,Bruno Henrique Corsini
Jean,VOL,JOGADOR BASE,Jean Raphael Vanderlei Moreira
Euller,VOL,JOGADOR BASE,Euller Elias de Carvalho
Rogério,VOL,JOGADOR BASE,Rogério Fidélis Régis
Flávio Conceição,VOL,JOGADOR BASE,Flávio da Conceição
Magrão,VOL,JOGADOR BASE,Márcio Rodrigues
Claudio,VOL,JOGADOR BASE,Claudio Olinto de Carvalho
Pires,VOL,JOGADOR BASE,Waldir Peres
Sandro Silva,VOL,JOGADOR BASE,Sandro da Silva Mendonça
Edinho,VOL,JOGADOR BASE,Edon Amaral Neto
Correa,VOL,JOGADOR BASE,Carlos Rodrigo Correa
Marcinho Guerreiro,VOL,JOGADOR BASE,Márcio Glad
Wanderson,VOL,JOGADOR BASE,Wanderson Santos Pereira
Wendel,VOL,JOGADOR BASE,Wendel Santana Pereira Santos
Dudú Cearense,VOL,JOGADOR BASE,Alessandro Silva de Araújo
Tche Tche,VOL,JOGADOR BASE,Danilo das Chagas
Moisés,VOL,JOGADOR BASE,Moisés Lima Magalhães; Profeta
Goziano,VOL,JOGADOR BASE,Goziano Silva
Zequinha,VOL,JOGADOR BASE,José Ferreira Franco
Tiago Real,VOL,JOGADOR BASE,Tiago Real do Prado
Wesley,VOL,JOGADOR BASE,Wesley Lopes Beltrame
Charles,VOL,JOGADOR BASE,Charles Fernando Basílio da Silva
Eguren,VOL,JOGADOR BASE,Sebastián Eguren Ledesma
França,VOL,JOGADOR BASE,Welington Wildy Muniz dos Santos
Martinez,VOL,JOGADOR BASE,Vidal Sanabria
Reinaldo,VOL,JOGADOR BASE,Reinaldo da Cruz Oliveira
Naves,VOL,JOGADOR BASE,Kaique Naves (ZAG/VOL)
Raphael Veiga,MEI,JOGADOR BASE,Raphael Cavalcante Veiga; Homem do Gelo
Diego Souza,MEI,JOGADOR BASE,Diego de Souza Andrade
Valdivia,MEI,Folclórico/Histórico,Jorge Luis Valdivia Toro; El Mago
Cleiton Xavier,MEI,JOGADOR BASE,Cleiton Ribeiro Xavier; CX10
Djalminha,MEI,JOGADOR BASE,Djalma Feitosa Dias
Neto,MEI,Folclórico/Histórico,José Ferreira Neto; Craque Neto
Mazinho,MEI,JOGADOR BASE,Waldemar Aureliano de Oliveira Filho; Polivalente
Lincoln,MEI,JOGADOR BASE,Cássio de Souza Soares
Gustavo Scarpa,MEI,JOGADOR BASE,"Scarpa; Gustavo Henrique Furtado Scarpa, O Homem do Skate"
Chininha,MEI,Folclórico/Histórico,Jean Carlo de Souza
Gérson Caçapa,MEI,JOGADOR BASE,Caçapa; Gérson Cândido de Paula
Guerra,MEI,JOGADOR BASE,"Alejandro Abraham Guerra Morales, El Lobo"
Humberto Tozzi,MEI,JOGADOR BASE,Humberto Barbosa Tozzi
Jorginho Putinatti,MEI,JOGADOR BASE,Jorge Antônio Putinatti
Mendonça,MEI,JOGADOR BASE,Milton da Cunha Mendonça
Pires,MEI,Folclórico/Histórico,Waldir Peres
Léo Lima,MEI,Folclórico/Histórico,Leonardo Lima da Silva
Daniel Carvalho,MEI,Folclórico/Histórico,Daniel da Silva Carvalho
Wesley,MEI,Folclórico/Histórico,Wesley Lopes Beltrame; Vaquinha
Valter,MEI,Folclórico/Histórico,Valter Marciano
Chinês,MEI,Folclórico/Histórico,José Ricardo da Silva
Edu Manga,MEI,JOGADOR BASE,Eduardo Antônio dos Santos
Arce (Meia),MEI,JOGADOR BASE,Dionísio Arce
Leivinha,MEI,JOGADOR BASE,João Leiva Campos Filho
Tupãzinho,MEI,JOGADOR BASE,José Ricardo da Silva
Servílio,MEI,JOGADOR BASE,Servílio de Jesus Filho
Lopes Tigre,MEI,Folclórico/Histórico,"Tigre, Wellington Nogueira Lopes"
Pedrinho,MEI,JOGADOR BASE,Pedro Paulo de Oliveira
Felipe Anderson,MEI,JOGADOR BASE,Felipe Anderson Pereira Gomes
Maurício,MEI,JOGADOR BASE,Maurício Magalhães Prado
Rômulo,MEI,JOGADOR BASE,Rômulo Azevedo Simão
Róger Guedes,MEI,JOGADOR BASE,Róger Krug Guedes
Allione,MEI,JOGADOR BASE,Agustín Lionel Allione
Marquinhos,MEI,JOGADOR BASE,Marcos Vicente dos Santos
Mário Sérgio,MEI,JOGADOR BASE,"Mário Sérgio Pontes de Paiva, O Vesgo"
Enéas,MEI,JOGADOR BASE,Enéas de Camargo
Liminha,MEI,JOGADOR BASE,Oswaldo Luiz Amaral
Ponce de León,MEI,JOGADOR BASE,Norival Ponce de León
Jair Rosa Pinto,MEI,JOGADOR BASE,Jair Rosa Pinto
Canhotinho,MEI,JOGADOR BASE,Milton de Medeiros
Beirute,MEI,Folclórico/Histórico,César Augusto Silva Lemos
Dudú,MEI,JOGADOR BASE,Eduardo Pereira Rodrigues (Meia/Atacante)
Hyoran,MEI,JOGADOR BASE,Hyoran Kaue Dalmoro
Alan Patrick,MEI,JOGADOR BASE,Alan Patrick Lourenço
Bernardo,MEI,JOGADOR BASE,Bernardo Vieira de Souza
Maikon Leite,MEI,JOGADOR BASE,Maikon Fernando Souza Leite
Tiago Real,MEI,JOGADOR BASE,Tiago Real do Prado
Patrick de Paula,VOL,JOGADOR BASE,PK; Patrick de Paula Carreiro
Danilo Barbosa,VOL,JOGADOR BASE,Danilo Barbosa da Silva
Gabriel Jesus,ATA,JOGADOR BASE,Gabriel Fernando de Jesus
Oséas,ATA,JOGADOR BASE,Oséas Reis dos Santos
Paulo Nunes,ATA,Folclórico/Histórico,"Diabo Loiro, Aristharchus"
Kleber Gladiador,ATA,Folclórico/Histórico,Kleber de Freitas Giacomazzi
Obina,ATA,Folclórico/Histórico,"Manuel de Brito Filho, Melhor que Eto'o"
Barcos,ATA,JOGADOR BASE,Hernán Barcos; Pirata
Endrick,ATA,JOGADOR BASE,Endrick Felipe Moreira de Sousa
César Maluco,ATA,JOGADOR BASE,César Augusto da Silva Lemos
Luiz Adriano,ATA,JOGADOR BASE,Luiz Adriano de Souza da Silva
Rony Rústico,ATA,JOGADOR BASE,Ronielson da Silva Barbosa
Flávio Minuano,ATA,JOGADOR BASE,Flávio Almeida da Fonseca
Mirandinha,ATA,JOGADOR BASE,Francisco Ernandi Lima da Silva
Euller,ATA,JOGADOR BASE,Filho do Vento
Asprilla,ATA,Folclórico/Histórico,Faustino Hernán Asprilla Hinestroza
Muller,ATA,Folclórico/Histórico,Luís Antônio Corrêa da Costa
Valentin Viola,ATA,Folclórico/Histórico,"Viola, O Valentín"
Betinho,ATA,Folclórico/Histórico,"Alberto Thiago da Silva, O Herói da Copa do Brasil 12"
Tuta,ATA,Folclórico/Histórico,Moacir Bastos
Gioino,ATA,Folclórico/Histórico,Sergio Alejandro Gioino
Cristaldo,ATA,Folclórico/Histórico,"Jonathan Cristaldo, Churry"
Luan,ATA,Folclórico/Histórico,Luan Madson Gedeão de Paiva
Vágner Love,ATA,JOGADOR BASE,Artilheiro do Amor
Willian Bigode,ATA,JOGADOR BASE,Willian Gomes de Siqueira
Keno,ATA,JOGADOR BASE,Marcos da Silva França
Borja,ATA,JOGADOR BASE,Miguel Ángel Borja Hernández
Deyverson,ATA,JOGADOR BASE,Deyverson Brum Silva Acosta; Deyvinho
Leandro,ATA,JOGADOR BASE,Leandro Pinheiro da Conceição
Rafael Marques,ATA,JOGADOR BASE,Rafael Marques Mariano
Alex Mineiro,ATA,JOGADOR BASE,Alexander Pereira Cardoso
Keirrison,ATA,JOGADOR BASE,K9; Keirrison de Souza Carneiro
Alan Kardec,ATA,JOGADOR BASE,Alan Kardec de Souza Pereira Junior
Arthur Cabral,ATA,JOGADOR BASE,Arthur Mendonça Cabral
Erik,ATA,JOGADOR BASE,Erik Nascimento de Lima
Roger Guedes,ATA,JOGADOR BASE,Roger Krug Guedes
Estêvão,ATA,JOGADOR BASE,Estêvão Willian Almeida de Oliveira Gonçalves
Flaco López,ATA,JOGADOR BASE,José Manuel Alberto López
Marquinhos,ATA,JOGADOR BASE,Marcus Vinícius Oliveira Alencar
Rodrigues,ATA,JOGADOR BASE,"Francisco Rodrigues, Tatu"
Liminha,ATA,JOGADOR BASE,Oswaldo Luiz Amaral
Romeu Pellicciari,ATA,JOGADOR BASE,Pellicciari
Levinha,ATA,JOGADOR BASE,João Leiva Campos Filho
Mazzola,ATA,JOGADOR BASE,José João Altafini
Tupãzinho,ATA,JOGADOR BASE,José Ricardo da Silva
Echevarrieta,ATA,JOGADOR BASE,Juan Raúl Echevarrieta
Artime,ATA,JOGADOR BASE,Luis Artime
Cardoso,ATA,JOGADOR BASE,Joaquim Cardoso Neto
Bordon,ATA,JOGADOR BASE,Duílio Bordon
Canhotinho,ATA,JOGADOR BASE,Milton de Medeiros
Lauro,ATA,JOGADOR BASE,Lauro Amaro de Castro
Edu Bala,ATA,JOGADOR BASE,Carlos Eduardo da Silva
